Employee_ID,Attrition_rate
EID_22713,0.21942106
EID_9658,0.25989437
EID_22203,0.13309902
EID_7652,0.21905054
EID_6516,0.09925603
EID_20283,0.24563444
EID_21014,0.13291277
EID_7693,0.45752656
EID_13232,0.299663
EID_6515,0.32529947
EID_13639,0.22658783
EID_14669,0.3149463
EID_16537,0.24912716
EID_5782,0.17656413
EID_20157,0.28104928
EID_1855,0.2435984
EID_20748,0.13418467
EID_23179,0.18407597
EID_12838,0.16288356
EID_21656,0.10702859
EID_8844,0.34586215
EID_1536,0.2743526
EID_8822,0.25619766
EID_11398,0.27001432
EID_12965,0.1415971
EID_5204,0.3873991
EID_10030,0.34010282
EID_13227,0.30626908
EID_20607,0.31218204
EID_14070,0.17655079
EID_3755,0.16531542
EID_5459,0.17852741
EID_7697,0.1065024
EID_3935,0.2857855
EID_19046,0.10382961
EID_4040,0.21220013
EID_17730,0.38395652
EID_4995,0.14643179
EID_24653,0.1736717
EID_6978,0.21932305
EID_13775,0.20251238
EID_14608,0.21992354
EID_3148,0.31053644
EID_24868,0.2647041
EID_5521,0.4169872
EID_21155,0.10752522
EID_3840,0.1826713
EID_10646,0.090472
EID_6711,0.23464599
EID_16247,0.5192862
EID_16789,0.15977533
EID_17967,0.1347542
EID_13270,0.46685666
EID_18462,0.11205488
EID_22248,0.30313373
EID_22693,0.19054526
EID_25662,0.14627616
EID_23346,0.2648776
EID_4437,0.29072103
EID_18108,0.37006548
EID_7000,0.19559464
EID_22770,0.12237722
EID_7816,0.15754077
EID_19615,0.11520592
EID_23807,0.3801644
EID_16764,0.080429725
EID_16818,0.14562981
EID_22712,0.14557518
EID_18198,0.2041112
EID_11154,0.22343461
EID_22137,0.1726585
EID_11655,0.25361153
EID_18514,0.45965728
EID_24742,0.28729123
EID_16019,0.16650984
EID_7357,0.24737395
EID_20106,0.21534878
EID_13284,0.11505016
EID_5451,0.12746465
EID_19728,0.3108898
EID_9178,0.26072633
EID_13177,0.06592855
EID_14300,0.33969256
EID_4379,0.16176262
EID_11285,0.28468212
EID_14882,0.24861135
EID_9969,0.2888618
EID_23643,0.111085236
EID_5935,0.24545635
EID_7741,0.15780176
EID_6176,0.36329064
EID_5418,0.5388095
EID_20626,0.37505403
EID_1725,0.15725592
EID_14317,0.25396046
EID_12120,0.16573691
EID_20264,0.1815712
EID_16691,0.12673692
EID_1093,0.14677306
EID_2565,0.32148838
EID_11463,0.1382724
EID_12005,0.106042795
EID_10326,0.17598113
EID_12582,0.16069835
EID_18228,0.15494329
EID_11670,0.25445756
EID_24257,0.09202434
EID_7024,0.21499819
EID_10382,0.21044207
EID_20210,0.20837426
EID_10294,0.107974865
EID_19941,0.36916366
EID_25572,0.13869093
EID_7758,0.20778187
EID_22718,0.081119984
EID_1078,0.23335451
EID_8227,0.18155159
EID_1702,0.44515237
EID_3532,0.21771143
EID_22452,0.15042622
EID_3019,0.205959
EID_22264,0.12468595
EID_9866,0.31357267
EID_3520,0.08392646
EID_21098,0.1139664
EID_1186,0.14533973
EID_12355,0.50453836
EID_11020,0.27974185
EID_19193,0.14268328
EID_17787,0.18928312
EID_13719,0.15782362
EID_24449,0.18156303
EID_12957,0.30205652
EID_24794,0.190766
EID_2866,0.24656291
EID_10563,0.10140332
EID_22492,0.36858255
EID_4106,0.27349338
EID_6648,0.23535192
EID_7209,0.18951859
EID_9692,0.31569397
EID_22763,0.09550728
EID_12622,0.13777794
EID_9831,0.23488137
EID_5731,0.19397014
EID_1114,0.23683055
EID_25017,0.25712085
EID_22956,0.15715371
EID_5549,0.13481657
EID_12022,0.16051625
EID_8034,0.3379952
EID_20644,0.22086261
EID_20125,0.27665392
EID_21957,0.19549493
EID_8870,0.16727588
EID_2305,0.20833428
EID_3977,0.20676652
EID_14845,0.33181795
EID_6629,0.37571284
EID_14577,0.33043
EID_24509,0.11295246
EID_1530,0.16929926
EID_21524,0.3383564
EID_6647,0.35797873
EID_19730,0.27239257
EID_4424,0.26854149
EID_7964,0.1557182
EID_6289,0.090183765
EID_2899,0.12301099
