Age,Education_Level,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Work_Life_balance,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,Gender,Relationship_Status,Hometown,Unit,Decision_skill_possess,Compensation_and_Benefits,Attrition_rate
42.0,4,4.0,4,33,1,1,7.0,3.0,4,0.7516,1.8688,2.0,4,5,3,0,0,1,2,2,2,0.1841
24.0,3,5.0,4,36,0,3,6.0,4.0,3,-0.9612,-0.4537,2.0,3,5,3,1,1,3,3,0,2,0.067
58.0,3,27.0,3,51,0,2,8.0,1.0,4,-0.9612,-0.4537,3.0,3,8,3,0,0,0,8,2,2,0.0851
26.0,3,4.0,3,56,1,3,8.0,1.0,3,-1.8176,-0.4537,2.0,3,7,3,0,1,2,1,1,2,0.0668
31.0,1,5.0,4,62,1,3,2.0,3.0,1,0.7516,-0.4537,2.0,2,8,2,0,0,3,3,2,3,0.1827
54.0,3,19.0,1,21,2,5,9.0,1.0,3,-1.8176,1.8688,2.0,2,8,3,1,0,2,7,2,2,0.7613
21.0,4,2.0,1,50,1,1,6.0,2.0,3,-0.9612,0.7075,2.0,3,7,3,0,0,3,7,3,2,0.2819
42.0,3,34.0,4,23,1,4,6.0,2.0,3,-0.1048,-0.4537,2.0,3,9,3,0,0,3,10,3,3,0.1169
40.0,4,13.0,1,49,0,1,9.0,4.0,1,-0.1048,1.8688,2.0,5,6,3,1,1,3,6,0,0,0.1968
45.0,3,21.0,4,34,0,2,5.0,4.0,3,0.7516,-0.4537,2.0,4,8,3,1,0,2,2,3,3,0.287
65.0,5,31.0,3,49,1,1,6.0,3.0,3,0.7516,-0.4537,3.0,4,6,3,0,1,2,7,1,3,0.2735
19.0,5,0.0,0,25,1,2,5.0,1.0,3,-1.8176,-0.4537,2.0,3,6,3,0,1,3,5,0,4,0.08
63.0,3,27.0,1,29,0,2,7.0,1.0,3,-0.1048,-0.4537,2.0,5,6,3,1,0,2,10,2,2,0.2109
23.0,4,4.0,2,70,1,3,8.0,3.0,4,-0.1048,-1.615,2.0,4,8,3,0,1,4,3,2,2,0.1696
19.0,3,0.0,0,74,0,2,9.0,3.0,3,-0.9612,1.8688,2.0,4,6,3,0,0,4,1,3,2,0.0318
19.0,3,0.0,0,32,1,2,6.0,2.0,3,0.7516,-1.615,1.0,3,8,3,0,0,3,3,0,2,0.1331
65.0,4,35.0,1,58,0,3,4.0,2.0,3,-0.1048,0.7075,1.0,3,5,3,1,1,1,2,1,2,0.0671
40.0,4,12.0,1,45,1,3,9.0,2.0,3,-0.9612,-0.4537,2.0,5,8,4,0,0,3,0,3,3,0.1468
33.0,3,9.0,1,39,1,2,5.0,1.0,3,-1.8176,0.7075,2.0,3,8,3,1,1,3,0,0,3,0.0559999999999999
32.0,3,7.0,4,44,0,4,5.0,1.0,3,-0.1048,0.7075,1.0,1,5,4,1,1,2,2,2,2,0.6409999999999999
22.0,4,3.0,1,53,0,4,6.0,3.0,3,-0.9612,-0.4537,2.0,2,7,4,0,0,0,8,1,2,0.1095
25.0,3,6.0,3,53,1,2,6.0,1.0,3,0.7516,0.7075,3.0,3,8,4,0,0,3,2,3,3,0.0462
65.0,1,33.0,2,30,0,3,7.0,2.0,3,-0.1048,0.7075,1.0,3,6,3,1,0,1,2,0,2,0.1708
31.0,4,6.0,4,39,1,3,8.0,1.0,3,-0.1048,0.7075,2.0,3,5,3,0,0,4,0,0,3,0.2704
24.0,5,5.0,1,52,0,3,8.0,2.0,3,-0.9612,-0.4537,2.0,3,8,5,0,1,3,10,2,2,0.1742
37.0,2,15.0,1,58,1,3,3.0,1.0,3,-0.1048,-0.4537,1.0,4,8,2,0,0,4,4,3,2,0.8727
47.0,4,21.0,1,34,1,3,8.0,4.0,4,0.7516,0.7075,2.0,3,5,2,0,1,4,9,0,2,0.2269
28.0,3,5.0,1,58,0,4,8.0,1.0,3,0.7516,0.7075,2.0,3,8,3,1,1,2,10,2,2,0.6272
45.0,3,15.0,4,60,0,2,9.0,2.0,3,-0.9612,-0.4537,2.0,1,7,5,0,0,2,9,0,4,0.0326
34.0,3,6.0,1,29,0,4,7.0,3.0,3,-1.8176,-0.4537,2.0,2,8,3,0,0,2,5,0,2,0.273
24.0,4,5.0,4,55,0,1,8.0,3.0,4,0.7516,0.7075,2.0,3,5,3,1,1,1,2,0,2,0.0021
54.0,3,28.0,1,71,2,3,5.0,3.0,4,-0.1048,-0.4537,2.0,2,8,5,1,1,2,0,3,2,0.0647
54.0,1,30.0,3,22,0,1,5.0,2.0,3,-1.8176,-0.4537,2.0,4,7,3,0,1,3,2,1,3,0.0447
55.0,3,33.0,4,66,0,5,7.0,4.0,3,-0.1048,-0.4537,2.0,2,6,3,0,0,1,2,1,3,0.2307
19.0,5,0.0,0,39,2,3,4.0,4.0,3,-0.1048,-0.4537,1.0,2,8,3,0,1,2,5,1,2,0.2637
46.0,3,10.0,2,31,0,2,9.0,1.0,3,-1.8176,0.7075,2.0,1,8,3,0,1,4,10,0,4,0.0759
28.0,3,6.0,3,38,2,1,5.0,2.0,3,1.6081,0.7075,2.0,3,9,3,0,1,2,5,0,3,0.2161
54.0,3,26.0,2,27,2,4,8.0,2.0,3,-0.1048,-0.4537,2.0,3,8,3,1,1,3,7,3,3,0.4617
33.0,3,9.0,3,72,0,1,10.0,2.0,2,0.7516,-0.4537,2.0,2,7,3,0,0,2,3,0,2,0.6961
30.0,3,7.0,3,33,0,2,6.0,1.0,1,0.7516,0.7075,2.0,4,7,3,1,1,3,2,3,2,0.2656
37.0,2,4.0,1,72,2,5,6.0,2.0,3,-1.8176,0.7075,2.0,5,6,2,0,0,3,2,2,3,0.0618
43.0,4,12.0,4,50,2,5,5.0,4.0,3,0.7516,-0.4537,2.0,4,8,3,1,0,4,5,1,2,0.1983
30.0,4,6.0,1,46,1,1,6.0,4.0,2,1.6081,0.7075,1.0,4,8,4,1,0,0,2,2,3,0.2744
38.0,3,19.0,3,51,1,2,4.0,2.0,5,0.7516,1.8688,2.0,3,8,3,1,0,3,3,2,2,0.1571
24.0,3,5.0,1,20,1,4,7.0,2.0,4,0.7516,0.7075,2.0,4,6,3,0,0,0,4,2,4,0.0088
39.0,3,14.0,4,67,1,5,5.0,1.0,3,1.6081,0.7075,2.0,3,6,3,0,1,1,6,3,4,0.0882
27.0,4,3.0,3,68,0,4,6.0,4.0,4,-0.1048,-0.4537,1.0,3,8,5,1,0,2,4,0,2,0.2711
34.0,4,10.0,2,67,0,3,9.0,2.0,3,0.7516,-0.4537,2.0,1,7,1,0,0,4,2,3,2,0.1519
57.0,1,35.0,3,37,1,3,2.0,1.0,4,0.7516,0.7075,2.0,2,6,3,0,0,3,2,3,3,0.1593
31.0,4,4.0,2,48,0,5,4.0,1.0,1,-0.1048,0.7075,2.0,3,8,3,1,1,3,10,1,2,0.23
54.0,3,27.0,4,27,0,1,5.0,2.0,3,-0.1048,-0.4537,2.0,3,6,4,0,0,1,3,3,3,0.0672
51.0,3,27.0,2,63,1,2,6.0,3.0,3,-0.1048,-1.615,3.0,4,8,3,1,1,3,8,3,2,0.046
